Rule Name,Enabled,Building Block,Type,ID,Override ID,Owner,Tests,Notes,RESP: Forwarding Destinations,RESP: Add to Reference Set,RESP: Add to Reference Set Property,RESP: Dispatch New Event Name,RESP: Dispatch New Event Create Offense,RESP: Dispatch New Event Offense Naming,RESP: Dispatch New Event Offense Index,RESP: Email,RESP: Email Event Template,RESP: Email Flow Template,RESP: Send to Local Syslog,RESP: Message Notification,ACT: Drop Detected Event,ACT: Create Offense,ACT: Create Offense Index,ACT: Alter Sev-Cred-Rel,UsingBB,LogSource,NotLogSource,EventCategory,NotEventCategory,EventIDDetails,EventQIDDetails,NotEventQIDDetails,IPProtocol,NotIPProtocol,EventMatches,NotEventMatches,FlowType,NotFlowType,FlowDuration,NotFlowDuration,FlowContext,NotFlowContext,EventPayload,ErrorCode,NotErrorCode,Application,NotApplication,EventSeverity,NotEventSeverity,EventCredibility,NotEventCredibility,EventRelevance,NotEventRelevance,ObjectName,NotObjectName,EventType,NotEventType,EventContext,NotEventContext,EventAdditionalCondition,NotEventAdditionalCondition,SourceBytePacketRatio,NotSourceBytePacketRatio,DestinationBytePacketRatio,NotDestinationBytePacketRatio,DestinationBytes,NotDestinationBytes,SourceBytes,NotSourceBytes,SourceOrDestinationIP,NotSourceOrDestinationIP,SourceIP,NotSourceIP,LocalNetwork,NotLocalNetwork,DestinationIP,NotDestinationIP,SourceOrDestinationPort,NotSourceOrDestinationPort,SourcePort,NotSourcePort,DestinationPort,NotDestinationPort,DestinationPackets,NotDestinationPackets,SourcePackets,NotSourcePackets,Source,NotSource,SourceTCPFlag,NotSourceTCPFlag,Destination,NotDestination,NumberOfLocalhost,NotNumberOfLocalhost,IdentityMAC,NotIdentityMAC,Username,NotUsername,AttackContext,NotAttackContext,FlowBias,NotFlowBias,EventAtLeastSeen,NotEventAtLeastSeen,ICMPType,NotICMPType,Context,NotContext,FlowOrEvent,NotFlowOrEvent,FlowOrEventOccurAfter,NotFlowOrEventOccurAfter,FlowOrEventOccurBefore,NotFlowOrEventOccurBefore,EventIdentityTrue,NotEventIdentityTrue,SourceDestinationPacketRatio,NotSourceDestinationPacketRatio,UsingBB_Tests,Check Usage,Used by Building Blocks,Used by Use Cases,Rule Name Contains UBA,Used BB or Use Cases Contains UBA,Not Used Tests,EventID
BB: Hanzo: Windows 2008 Logon Failure - Account currently disabled,TRUE,TRUE,EVENT,111988,111988,admin,"and when the event(s) were detected by one or more of Microsoft Windows Security Event Log
and when any of EventID (custom) are contained in any of Hanzo - EventID 4776 (Account failed to log on) - AlphaNumeric, Hanzo - EventID 4625 (Account failed to log on) - AlphaNumeric
and when any of Error Code (custom), Sub Status (custom) are contained in any of Hanzo - Error Code (Account is currently disabled) - AlphaNumeric",,,,,,,,,,,,,,,,,,,Microsoft Windows Security Event Log,,,,"Hanzo - EventID 4776 (Account failed to log on) - AlphaNumeric
Hanzo - EventID 4625 (Account failed to log on) - AlphaNumeric",,,,,,,,,,,,,,Hanzo - Error Code (Account is currently disabled) - AlphaNumeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Used,,Windows Logon Failure - Account currently disabled,,,,4776
BB: Hanzo: Windows 2008 Logon Failure - Account has expired,TRUE,TRUE,EVENT,111990,111990,admin,"and when the event(s) were detected by one or more of Microsoft Windows Security Event Log
and when any of EventID (custom) are contained in any of Hanzo - EventID 4776 (Account failed to log on) - AlphaNumeric, Hanzo - EventID 4625 (Account failed to log on) - AlphaNumeric
and when any of Error Code (custom), Sub Status (custom) are contained in any of Hanzo - Error Code (Account expiration) - AlphaNumeric",,,,,,,,,,,,,,,,,,,Microsoft Windows Security Event Log,,,,"Hanzo - EventID 4776 (Account failed to log on) - AlphaNumeric
Hanzo - EventID 4625 (Account failed to log on) - AlphaNumeric",,,,,,,,,,,,,,Hanzo - Error Code (Account expiration) - AlphaNumeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Used,,Windows Logon Failure - Account has expired,,,,4776
BB: Hanzo: Windows 2008 Logon Failure - Logon attempt failed for other reasons,TRUE,TRUE,EVENT,-1,,admin,"and when the event(s) were detected by one or more of Microsoft Windows Security Event Log
and when any of EventID (custom) are contained in any of Hanzo - EventID 4776 (Account failed to log on) - AlphaNumeric
and when any of Error Code (custom) are contained in any of Hanzo - Error Code (Logon attempt failed for other reasons) - AlphaNumeric",,,,,,,,,,,,,,,,,,,Microsoft Windows Security Event Log,,,,Hanzo - EventID 4776 (Account failed to log on) - AlphaNumeric,,,,,,,,,,,,,,Hanzo - Error Code (Logon attempt failed for other reasons) - AlphaNumeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Used,,Windows Logon Failure - Logon attempt failed for other reasons,,,,4776
BB: Hanzo: Windows 2008 Logon Failure - Logon time restriction violation,TRUE,TRUE,EVENT,-1,,admin,"and when the event(s) were detected by one or more of Microsoft Windows Security Event Log
and when any of EventID (custom) are contained in any of Hanzo - EventID 4776 (Account failed to log on) - AlphaNumeric
and when any of Error Code (custom) are contained in any of Hanzo - Error Code (Account logon time restriction violation) - AlphaNumeric",,,,,,,,,,,,,,,,,,,Microsoft Windows Security Event Log,,,,Hanzo - EventID 4776 (Account failed to log on) - AlphaNumeric,,,,,,,,,,,,,,Hanzo - Error Code (Account logon time restriction violation) - AlphaNumeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Used,,,,,"and when the event(s) were detected by one or more of Microsoft Windows Security Event Log
and when any of EventID (custom) are contained in any of Hanzo - EventID 4776 (Account failed to log on) - AlphaNumeric
and when any of Error Code (custom) are contained in any of Hanzo - Error Code (Account logon time restriction violation) - AlphaNumeric",4776
BB: Hanzo: Windows 2008 Logon Failure - The specified account's password has expired,TRUE,TRUE,EVENT,-1,,admin,"and when the event(s) were detected by one or more of Microsoft Windows Security Event Log
and when any of EventID (custom) are contained in any of Hanzo - EventID 4776 (Account failed to log on) - AlphaNumeric
and when any of Error Code (custom) are contained in any of Hanzo - Error Code (Expired password) - AlphaNumeric",,,,,,,,,,,,,,,,,,,Microsoft Windows Security Event Log,,,,Hanzo - EventID 4776 (Account failed to log on) - AlphaNumeric,,,,,,,,,,,,,,Hanzo - Error Code (Expired password) - AlphaNumeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Used,,,,,"and when the event(s) were detected by one or more of Microsoft Windows Security Event Log
and when any of EventID (custom) are contained in any of Hanzo - EventID 4776 (Account failed to log on) - AlphaNumeric
and when any of Error Code (custom) are contained in any of Hanzo - Error Code (Expired password) - AlphaNumeric",4776
BB: Hanzo: Windows 2008 Logon Failure - The user has not been granted the requested logon type at this machine,TRUE,TRUE,EVENT,111995,111995,admin,"and when the event(s) were detected by one or more of Microsoft Windows Security Event Log
and when any of EventID (custom) are contained in any of Hanzo - EventID 4776 (Account failed to log on) - AlphaNumeric, Hanzo - EventID 4625 (Account failed to log on) - AlphaNumeric
and when any of Error Code (custom), Sub Status (custom) are contained in any of Hanzo - Error Code (User has not been granted requested logon type on this machine) - AlphaNumeric",,,,,,,,,,,,,,,,,,,Microsoft Windows Security Event Log,,,,"Hanzo - EventID 4776 (Account failed to log on) - AlphaNumeric
Hanzo - EventID 4625 (Account failed to log on) - AlphaNumeric",,,,,,,,,,,,,,Hanzo - Error Code (User has not been granted requested logon type on this machine) - AlphaNumeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Used,,Windows Logon Failure - The user has not been granted the requested logon type at this machine,,,,4776
BB: Hanzo: Windows 2008 Logon Failure - Unknown Username or bad password,TRUE,TRUE,EVENT,-1,,admin,"and when the event(s) were detected by one or more of Microsoft Windows Security Event Log
and when any of EventID (custom) are contained in any of Hanzo - EventID 4776 (Account failed to log on) - AlphaNumeric
and when any of Error Code (custom) are contained in any of Hanzo - Error Code (Unknown Username or bad password) - AlphaNumeric",,,,,,,,,,,,,,,,,,,Microsoft Windows Security Event Log,,,,Hanzo - EventID 4776 (Account failed to log on) - AlphaNumeric,,,,,,,,,,,,,,Hanzo - Error Code (Unknown Username or bad password) - AlphaNumeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Used,,Windows Logon Failure - Unknown username or bad password,,,,4776
BB: Hanzo: Windows 2008 Logon Failure - User not allowed to logon at this computer,TRUE,TRUE,EVENT,111993,111993,admin,"and when the event(s) were detected by one or more of Microsoft Windows Security Event Log
and when any of EventID (custom) are contained in any of Hanzo - EventID 4776 (Account failed to log on) - AlphaNumeric, Hanzo - EventID 4625 (Account failed to log on) - AlphaNumeric
and when any of Error Code (custom), Sub Status (custom) are contained in any of Hanzo - Error Code (User not allowed to logon on this computer) - AlphaNumeric",,,,,,,,,,,,,,,,,,,Microsoft Windows Security Event Log,,,,"Hanzo - EventID 4776 (Account failed to log on) - AlphaNumeric
Hanzo - EventID 4625 (Account failed to log on) - AlphaNumeric",,,,,,,,,,,,,,Hanzo - Error Code (User not allowed to logon on this computer) - AlphaNumeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Used,,Windows Logon Failure - User not allowed to logon at this computer,,,,4776
BB:Audit Tools Access,TRUE,TRUE,EVENT,102972,102972,admin,"and when the event(s) were detected by one or more of Microsoft Windows Security Event Log, Universal DSM
and when any of ObjectName (custom) are contained in any of Audit Tools - AlphaNumeric",Edit this building block to define events that are related access of information systems audit tools.,,,,,,,,,,,,,,,,,,"Microsoft Windows Security Event Log
Universal DSM",,,,,,,,,,,,,,,,,,,,,,,,,,,,Audit Tools - AlphaNumeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Used,BB:UBA : Privileged Activity,,,,,
BB:BehaviorDefinition: Compromise Activities,TRUE,TRUE,EVENT,100086,100086,admin,"and when the event category for the event is one of the following DOS.Brute force login, Exploit, Malware.Malicious Software, Malware.Virus Detected, Potential Exploit, Suspicious Activity.Executable Code Detected, Suspicious Activity.IDS Evasion",Edit this BB to include categories that are considered the be part of events seen during typical compromises.,,,,,,,,,,,,,,,,,,,,"DOS.Brute force login
Exploit
Malware.Malicious Software
Malware.Virus Detected
Potential Exploit
Suspicious Activity.Executable Code Detected
Suspicious Activity.IDS Evasion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Used,,,,,"and when the event category for the event is one of the following DOS.Brute force login, Exploit, Malware.Malicious Software, Malware.Virus Detected, Potential Exploit, Suspicious Activity.Executable Code Detected, Suspicious Activity.IDS Evasion",
BB:BehaviorDefinition: Post Compromise Activities,TRUE,TRUE,EVENT,100087,100087,admin,"and when an event matches any of the following BB:CategoryDefinition: Authentication User or Group Added or Changed, Anomaly: Potential Honeypot Access, Botnet: Potential Botnet Connection (DNS), WormDetection: Local Mass Mailing Host Detected, BB:ReconDetected: Basic Recon Rules",Edit this BB to include categories that are considered the be part of events seen after typical compromises.,,,,,,,,,,,,,,,,,"BB:CategoryDefinition: Authentication User or Group Added or Changed
BB:ReconDetected: Basic Recon Rules",,,,,,,,,,"BB:CategoryDefinition: Authentication User or Group Added or Changed
Anomaly: Potential Honeypot Access
Botnet: Potential Botnet Connection (DNS)
WormDetection: Local Mass Mailing Host Detected
BB:ReconDetected: Basic Recon Rules",,,,,,,,,,,,,,,,,,,,,"BB:CategoryDefinition: Authentication User or Group Added or Changed
Anomaly: Potential Honeypot Access
Botnet: Potential Botnet Connection (DNS)
WormDetection: Local Mass Mailing Host Detected
BB:ReconDetected: Basic Recon Rules",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Used,,"Load Basic Building Blocks
Attack followed by Attack Response",,,,
BB:CategoryDefinition: Any Flow,TRUE,TRUE,FLOW,100094,100094,admin,"and when the flow type is one of Standard, Superflow A, Superflow B, Superflow C",Defines any flows record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Standard
Superflow A
Superflow B
Superflow C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Used,,Botnet: Potential Botnet Connection (DNS),,,,
BB:CategoryDefinition: Application or Service Installed or Modified,TRUE,TRUE,EVENT,100252,100252,admin,"and when the event category for the event is one of the following System.Successful Application Modification, System.Service Installed, System.Registry Addition, System.Application Installed",,,,,,,,,,,,,,,,,,,,,"System.Successful Application Modification
System.Service Installed
System.Registry Addition
System.Application Installed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Used,,"UBA : User Installing Suspicious Application
Load Basic Building Blocks",,,,
